,french,latin,english,id
314,Guifette moustac,Chlidonias hybrida,Whiskered Tern,guifette.moustac
315,Guifette noire,Chlidonias niger,Black Tern,guifette.noire
316,Guillemot à miroir,Cepphus grylle,Black Guillemot,guillemot.a.miroir
317,Guillemot de Brünnich,Uria lomvia,Thick-billed Murre,guillemot.de.brunnich
318,Guillemot de Troïl,Uria aalge,Common Murre,guillemot.de.troil
319,Gypaète barbu,Gypaetus barbatus,Bearded Vulture,gypaete.barbu
320,Harelde boréale,Clangula hyemalis,Long-tailed Duck,harelde.boreale
321,Harfang des neiges,Bubo scandiacus,Snowy Owl,harfang.des.neiges
322,Harle bièvre,Mergus merganser,Common Merganser,harle.bievre
323,Harle huppé,Mergus serrator,Red-breasted Merganser,harle.huppe
324,Harle piette,Mergellus albellus,Smew,harle.piette
325,Héron cendré,Ardea cinerea,Grey Heron,heron.cendre
326,Héron garde-boeufs,Bubulcus ibis,Western Cattle Egret,heron.garde-boeufs
327,Héron intermédiaire,Ardea intermedia,Intermediate Egret,heron.intermediaire
328,Héron mélanocéphale,Ardea melanocephala,Black-headed Heron,heron.melanocephale
329,Héron pourpré,Ardea purpurea,Purple Heron,heron.pourpre
330,Héron strié,Butorides striata,Striated Heron,heron.strie
331,Héron vert,Butorides virescens,Green Heron,heron.vert
332,Hibou des marais,Asio flammeus,Short-eared Owl,hibou.des.marais
333,Hibou moyen-duc,Asio otus,Long-eared Owl,hibou.moyen-duc
334,Hirondelle à front blanc,Petrochelidon pyrrhonota,American Cliff Swallow,hirondelle.a.front.blanc
335,Hirondelle de fenêtre,Delichon urbicum,Common House Martin,hirondelle.de.fenetre
336,Hirondelle de rivage,Riparia riparia,Sand Martin,hirondelle.de.rivage
337,Hirondelle de rochers,Ptyonoprogne rupestris,Eurasian Crag Martin,hirondelle.de.rochers
338,Hirondelle paludicole,Riparia paludicola,Brown-throated Martin,hirondelle.paludicole
339,Hirondelle rousseline,Cecropis daurica,Red-rumped Swallow,hirondelle.rousseline
340,Hirondelle rustique,Hirundo rustica,Barn Swallow,hirondelle.rustique
341,Huîtrier pie,Haematopus ostralegus,Eurasian Oystercatcher,huitrier.pie
342,Huppe fasciée,Upupa epops,Eurasian Hoopoe,huppe.fasciee
343,Hypolaïs bottée,Iduna caligata,Booted Warbler,hypolais.bottee
344,Hypolaïs ictérine,Hippolais icterina,Icterine Warbler,hypolais.icterine
345,Hypolaïs obscure,Iduna opaca,Western Olivaceous Warbler,hypolais.obscure
346,Hypolaïs pâle,Iduna pallida,Eastern Olivaceous Warbler,hypolais.pale
347,Hypolaïs polyglotte,Hippolais polyglotta,Melodious Warbler,hypolais.polyglotte
348,Hypolaïs rama,Iduna rama,Sykes's Warbler,hypolais.rama
349,Ibis chauve,Geronticus eremita,Northern Bald Ibis,ibis.chauve
350,Ibis falcinelle,Plegadis falcinellus,Glossy Ibis,ibis.falcinelle
351,Ibis sacré,Threskiornis aethiopicus,African Sacred Ibis,ibis.sacre
352,Inséparable de Fischer,Agapornis fischeri,Fischer's Lovebird,inseparable.de.fischer
353,Iranie à gorge blanche,Irania gutturalis,White-throated Robin,iranie.a.gorge.blanche
354,Jaseur boréal,Bombycilla garrulus,Bohemian Waxwing,jaseur.boreal
355,Labbe à longue queue,Stercorarius longicaudus,Long-tailed Jaeger,labbe.a.longue.queue
356,Labbe parasite,Stercorarius parasiticus,Parasitic Jaeger,labbe.parasite
357,Labbe pomarin,Stercorarius pomarinus,Pomarine Jaeger,labbe.pomarin
358,Lagopède alpin,Lagopus muta,Rock Ptarmigan,lagopede.alpin
359,Léiothrix jaune,Leiothrix lutea,Red-billed Leiothrix,leiothrix.jaune
360,Linotte à bec jaune,Linaria flavirostris,Twite,linotte.a.bec.jaune
361,Linotte mélodieuse,Linaria cannabina,Common Linnet,linotte.melodieuse
362,Locustelle de Pallas,Helopsaltes certhiola,Pallas's Grasshopper Warbler,locustelle.de.pallas
363,Locustelle fasciée,Helopsaltes fasciolatus,Gray's Grasshopper Warbler,locustelle.fasciee
364,Locustelle fluviatile,Locustella fluviatilis,River Warbler,locustelle.fluviatile
365,Locustelle lancéolée,Locustella lanceolata,Lanceolated Warbler,locustelle.lanceolee
366,Locustelle luscinioïde,Locustella luscinioides,Savi's Warbler,locustelle.luscinioide
367,Locustelle tachetée,Locustella naevia,Common Grasshopper Warbler,locustelle.tachetee
368,Loriot d'Europe,Oriolus oriolus,Eurasian Golden Oriole,loriot.d.europe
369,Lusciniole à moustaches,Acrocephalus melanopogon,Moustached Warbler,lusciniole.a.moustaches
370,Macareux moine,Fratercula arctica,Atlantic Puffin,macareux.moine
371,Macreuse à bec jaune,Melanitta americana,Black Scoter,macreuse.a.bec.jaune
372,Macreuse à front blanc,Melanitta perspicillata,Surf Scoter,macreuse.a.front.blanc
373,Macreuse brune,Melanitta fusca,Velvet Scoter,macreuse.brune
374,Macreuse de Sibérie,Melanitta stejnegeri,Stejneger's Scoter,macreuse.de.siberie
375,Macreuse noire,Melanitta nigra,Common Scoter,macreuse.noire
376,Marouette de Baillon,Zapornia pusilla,Baillon's Crake,marouette.de.baillon
377,Marouette de Caroline,Porzana carolina,Sora,marouette.de.caroline
378,Marouette ponctuée,Porzana porzana,Spotted Crake,marouette.ponctuee
379,Marouette poussin,Zapornia parva,Little Crake,marouette.poussin
380,Martin-pêcheur d'Europe,Alcedo atthis,Common Kingfisher,martin-pecheur.d.europe
381,Martin-pêcheur pie,Ceryle rudis,Pied Kingfisher,martin-pecheur.pie
382,Martinet à ventre blanc,Tachymarptis melba,Alpine Swift,martinet.a.ventre.blanc
383,Martinet cafre,Apus caffer,White-rumped Swift,martinet.cafre
384,Martinet des maisons,Apus affinis,Little Swift,martinet.des.maisons
385,Martinet noir,Apus apus,Common Swift,martinet.noir
386,Martinet pâle,Apus pallidus,Pallid Swift,martinet.pale
387,Martinet ramoneur,Chaetura pelagica,Chimney Swift,martinet.ramoneur
388,Mergule nain,Alle alle,Little Auk,mergule.nain
389,Merle à plastron,Turdus torquatus,Ring Ouzel,merle.a.plastron
390,Merle noir,Turdus merula,Common Blackbird,merle.noir
391,Mésange azurée,Cyanistes cyanus,Azure Tit,mesange.azuree
392,Mésange bleue,Cyanistes caeruleus,Eurasian Blue Tit,mesange.bleue
393,Mésange boréale,Poecile montanus,Willow Tit,mesange.boreale
394,Mésange charbonnière,Parus major,Great Tit,mesange.charbonniere
395,Mésange huppée,Lophophanes cristatus,Crested Tit,mesange.huppee
396,Mésange noire,Periparus ater,Coal Tit,mesange.noire
397,Mésange nonnette,Poecile palustris,Marsh Tit,mesange.nonnette
398,Milan noir,Milvus migrans,Black Kite,milan.noir
399,Milan royal,Milvus milvus,Red Kite,milan.royal
400,Moineau cisalpin,Passer italiae,Italian Sparrow,moineau.cisalpin
401,Moineau domestique,Passer domesticus,House Sparrow,moineau.domestique
402,Moineau espagnol,Passer hispaniolensis,Spanish Sparrow,moineau.espagnol
403,Moineau friquet,Passer montanus,Eurasian Tree Sparrow,moineau.friquet
404,Moineau soulcie,Petronia petronia,Rock Sparrow,moineau.soulcie
405,Monticole bleu,Monticola solitarius,Blue Rock Thrush,monticole.bleu
406,Monticole de roche,Monticola saxatilis,Common Rock Thrush,monticole.de.roche
407,Mouette atricille,Leucophaeus atricilla,Laughing Gull,mouette.atricille
408,Mouette blanche,Pagophila eburnea,Ivory Gull,mouette.blanche
409,Mouette de Bonaparte,Chroicocephalus philadelphia,Bonaparte's Gull,mouette.de.bonaparte
410,Mouette de Franklin,Leucophaeus pipixcan,Franklin's Gull,mouette.de.franklin
411,Mouette de Ross,Rhodostethia rosea,Ross's Gull,mouette.de.ross
412,Mouette de Sabine,Xema sabini,Sabine's Gull,mouette.de.sabine
413,Mouette mélanocéphale,Ichthyaetus melanocephalus,Mediterranean Gull,mouette.melanocephale
414,Mouette pygmée,Hydrocoloeus minutus,Little Gull,mouette.pygmee
415,Mouette rieuse,Chroicocephalus ridibundus,Black-headed Gull,mouette.rieuse
416,Mouette tridactyle,Rissa tridactyla,Black-legged Kittiwake,mouette.tridactyle
417,Nette rousse,Netta rufina,Red-crested Pochard,nette.rousse
418,Niverolle alpine,Montifringilla nivalis,White-winged Snowfinch,niverolle.alpine
419,Océanite culblanc,Hydrobates leucorhous,Leach's Storm Petrel,oceanite.culblanc
420,Océanite de Castro,Hydrobates castro,Band-rumped Storm Petrel,oceanite.de.castro
421,Océanite de Swinhoe,Hydrobates monorhis,Swinhoe's Storm Petrel,oceanite.de.swinhoe
422,Océanite de Wilson,Oceanites oceanicus,Wilson's Storm Petrel,oceanite.de.wilson
423,Océanite tempête,Hydrobates pelagicus,European Storm Petrel,oceanite.tempete
424,Oedicnème criard,Burhinus oedicnemus,Eurasian Stone-curlew,oedicneme.criard
425,Oie à bec court,Anser brachyrhynchus,Pink-footed Goose,oie.a.bec.court
426,Oie cendrée,Anser anser,Greylag Goose,oie.cendree
427,Oie de la toundra,Anser serrirostris,Tundra Bean Goose,oie.de.la.toundra
428,Oie des moissons,Anser fabalis,Taiga Bean Goose,oie.des.moissons
429,Oie des neiges,Anser caerulescens,Snow Goose,oie.des.neiges
430,Oie naine,Anser erythropus,Lesser White-fronted Goose,oie.naine
431,Oie rieuse,Anser albifrons,Greater White-fronted Goose,oie.rieuse
432,Orite à longue queue,Aegithalos caudatus,Long-tailed Tit,orite.a.longue.queue
433,Ouette d'Égypte,Alopochen aegyptiaca,Egyptian Goose,ouette.d.egypte
434,Outarde barbue,Otis tarda,Great Bustard,outarde.barbue
435,Outarde canepetière,Tetrax tetrax,Little Bustard,outarde.canepetiere
436,Outarde de Macqueen,Chlamydotis macqueenii,Macqueen's Bustard,outarde.de.macqueen
437,Panure à moustaches,Panurus biarmicus,Bearded Reedling,panure.a.moustaches
438,Paruline à collier,Setophaga americana,Northern Parula,paruline.a.collier
439,Paruline à flancs marron,Setophaga pensylvanica,Chestnut-sided Warbler,paruline.a.flancs.marron
440,Paruline à gorge orangée,Setophaga fusca,Blackburnian Warbler,paruline.a.gorge.orangee
441,Paruline couronnée,Seiurus aurocapilla,Ovenbird,paruline.couronnee
442,Paruline des ruisseaux,Parkesia noveboracensis,Northern Waterthrush,paruline.des.ruisseaux
443,Paruline flamboyante,Setophaga ruticilla,American Redstart,paruline.flamboyante
444,Paruline jaune,Setophaga petechia,Mangrove Warbler,paruline.jaune
445,Paruline noir et blanc,Mniotilta varia,Black-and-white Warbler,paruline.noir.et.blanc
446,Paruline rayée,Setophaga striata,Blackpoll Warbler,paruline.rayee
447,Pélican blanc,Pelecanus onocrotalus,Great White Pelican,pelican.blanc
448,Pélican frisé,Pelecanus crispus,Dalmatian Pelican,pelican.frise
449,Percnoptère d'Égypte,Neophron percnopterus,Egyptian Vulture,percnoptere.d.egypte
450,Perdrix bartavelle,Alectoris graeca,Rock Partridge,perdrix.bartavelle
451,Perdrix choukar,Alectoris chukar,Chukar Partridge,perdrix.choukar
452,Perdrix gambra,Alectoris barbara,Barbary Partridge,perdrix.gambra
453,Perdrix grise,Perdix perdix,Grey Partridge,perdrix.grise
454,Perdrix rouge,Alectoris rufa,Red-legged Partridge,perdrix.rouge
455,Perriche veuve,Myiopsitta monachus,Monk Parakeet,perriche.veuve
456,Perruche à collier,Psittacula krameri,Rose-ringed Parakeet,perruche.a.collier
457,Petit-duc scops,Otus scops,Eurasian Scops Owl,petit-duc.scops
458,Petit Gravelot,Charadrius dubius,Little Ringed Plover,petit.gravelot
459,Pétrel de Bulwer,Bulweria bulwerii,Bulwer's Petrel,petrel.de.bulwer
460,Pétrel gongon,Pterodroma feae,Fea's Petrel,petrel.gongon
461,Phalarope à bec étroit,Phalaropus lobatus,Red-necked Phalarope,phalarope.a.bec.etroit
462,Phalarope à bec large,Phalaropus fulicarius,Red Phalarope,phalarope.a.bec.large
463,Phalarope de Wilson,Phalaropus tricolor,Wilson's Phalarope,phalarope.de.wilson
464,Phragmite aquatique,Acrocephalus paludicola,Aquatic Warbler,phragmite.aquatique
465,Phragmite des joncs,Acrocephalus schoenobaenus,Sedge Warbler,phragmite.des.joncs
466,Pic à dos blanc,Dendrocopos leucotos,White-backed Woodpecker,pic.a.dos.blanc
467,Pic cendré,Picus canus,Grey-headed Woodpecker,pic.cendre
468,Pic de Sharpe,Picus sharpei,Iberian Green Woodpecker,pic.de.sharpe
469,Pic épeiche,Dendrocopos major,Great Spotted Woodpecker,pic.epeiche
470,Pic épeichette,Dryobates minor,Lesser Spotted Woodpecker,pic.epeichette
471,Pic mar,Dendrocoptes medius,Middle Spotted Woodpecker,pic.mar
472,Pic noir,Dryocopus martius,Black Woodpecker,pic.noir
473,Pic tridactyle,Picoides tridactylus,Eurasian Three-toed Woodpecker,pic.tridactyle
474,Pic vert,Picus viridis,European Green Woodpecker,pic.vert
475,Pie-grièche à poitrine rose,Lanius minor,Lesser Grey Shrike,pie-grieche.a.poitrine.rose
476,Pie-grièche à tête rousse,Lanius senator,Woodchat Shrike,pie-grieche.a.tete.rousse
477,Pie-grièche brune,Lanius cristatus,Brown Shrike,pie-grieche.brune
478,Pie-grièche du Turkestan,Lanius phoenicuroides,Red-tailed Shrike,pie-grieche.du.turkestan
479,Pie-grièche écorcheur,Lanius collurio,Red-backed Shrike,pie-grieche.ecorcheur
480,Pie-grièche grise,Lanius excubitor,Great Grey Shrike,pie-grieche.grise
481,Pie-grièche isabelle,Lanius isabellinus,Isabelline Shrike,pie-grieche.isabelle
482,Pie-grièche masquée,Lanius nubicus,Masked Shrike,pie-grieche.masquee
483,Pie-grièche méridionale,Lanius meridionalis,Iberian Grey Shrike,pie-grieche.meridionale
484,Pie bavarde,Pica pica,Eurasian Magpie,pie.bavarde
485,Pigeon biset,Columba livia,Rock Dove,pigeon.biset
486,Pigeon colombin,Columba oenas,Stock Dove,pigeon.colombin
487,Pigeon ramier,Columba palumbus,Common Wood Pigeon,pigeon.ramier
488,Pingouin torda,Alca torda,Razorbill,pingouin.torda
489,Pinson des arbres,Fringilla coelebs,Common Chaffinch,pinson.des.arbres
490,Pinson du Nord,Fringilla montifringilla,Brambling,pinson.du.nord
491,Pipit à dos olive,Anthus hodgsoni,Olive-backed Pipit,pipit.a.dos.olive
492,Pipit à gorge rousse,Anthus cervinus,Red-throated Pipit,pipit.a.gorge.rousse
493,Pipit de Godlewski,Anthus godlewskii,Blyth's Pipit,pipit.de.godlewski
494,Pipit de la Petchora,Anthus gustavi,Pechora Pipit,pipit.de.la.petchora
495,Pipit de Richard,Anthus richardi,Richard's Pipit,pipit.de.richard
496,Pipit des arbres,Anthus trivialis,Tree Pipit,pipit.des.arbres
497,Pipit farlousane,Anthus rubescens,Buff-bellied Pipit,pipit.farlousane
498,Pipit farlouse,Anthus pratensis,Meadow Pipit,pipit.farlouse
499,Pipit maritime,Anthus petrosus,European Rock Pipit,pipit.maritime
500,Pipit rousseline,Anthus campestris,Tawny Pipit,pipit.rousseline
501,Pipit spioncelle,Anthus spinoletta,Water Pipit,pipit.spioncelle
502,Plongeon à bec blanc,Gavia adamsii,Yellow-billed Loon,plongeon.a.bec.blanc
503,Plongeon arctique,Gavia arctica,Black-throated Loon,plongeon.arctique
504,Plongeon catmarin,Gavia stellata,Red-throated Loon,plongeon.catmarin
505,Plongeon imbrin,Gavia immer,Common Loon,plongeon.imbrin
506,Pluvier argenté,Pluvialis squatarola,Grey Plover,pluvier.argente
507,Pluvier asiatique,Charadrius asiaticus,Caspian Plover,pluvier.asiatique
508,Pluvier bronzé,Pluvialis dominica,American Golden Plover,pluvier.bronze
509,Pluvier doré,Pluvialis apricaria,European Golden Plover,pluvier.dore
510,Pluvier fauve,Pluvialis fulva,Pacific Golden Plover,pluvier.fauve
511,Pluvier guignard,Charadrius morinellus,Eurasian Dotterel,pluvier.guignard
512,Pouillot à deux barres,Phylloscopus plumbeitarsus,Two-barred Warbler,pouillot.a.deux.barres
513,Pouillot à grands sourcils,Phylloscopus inornatus,Yellow-browed Warbler,pouillot.a.grands.sourcils
514,Pouillot boréal,Phylloscopus borealis,Arctic Warbler,pouillot.boreal
515,Pouillot brun,Phylloscopus fuscatus,Dusky Warbler,pouillot.brun
516,Pouillot de Bonelli,Phylloscopus bonelli,Western Bonelli's Warbler,pouillot.de.bonelli
517,Pouillot de Hume,Phylloscopus humei,Hume's Leaf Warbler,pouillot.de.hume
518,Pouillot de Pallas,Phylloscopus proregulus,Pallas's Leaf Warbler,pouillot.de.pallas
519,Pouillot de Schwarz,Phylloscopus schwarzi,Radde's Warbler,pouillot.de.schwarz
520,Pouillot de Temminck,Phylloscopus coronatus,Eastern Crowned Warbler,pouillot.de.temminck
521,Pouillot fitis,Phylloscopus trochilus,Willow Warbler,pouillot.fitis
522,Pouillot ibérique,Phylloscopus ibericus,Iberian Chiffchaff,pouillot.iberique
523,Pouillot oriental,Phylloscopus orientalis,Eastern Bonelli's Warbler,pouillot.oriental
524,Pouillot siffleur,Phylloscopus sibilatrix,Wood Warbler,pouillot.siffleur
525,Pouillot véloce,Phylloscopus collybita,Common Chiffchaff,pouillot.veloce
526,Pouillot verdâtre,Phylloscopus trochiloides,Greenish Warbler,pouillot.verdatre
527,Puffin à bec grêle,Ardenna tenuirostris,Short-tailed Shearwater,puffin.a.bec.grele
528,Puffin boréal,Calonectris borealis,Cory's Shearwater,puffin.boreal
529,Puffin de Macaronésie,Puffinus baroli,Barolo Shearwater,puffin.de.macaronesie
530,Puffin de Scopoli,Calonectris diomedea,Scopoli's Shearwater,puffin.de.scopoli
531,Puffin des Anglais,Puffinus puffinus,Manx Shearwater,puffin.des.anglais
532,Puffin des Baléares,Puffinus mauretanicus,Balearic Shearwater,puffin.des.baleares
533,Puffin fuligineux,Ardenna grisea,Sooty Shearwater,puffin.fuligineux
534,Puffin majeur,Ardenna gravis,Great Shearwater,puffin.majeur
535,Puffin yelkouan,Puffinus yelkouan,Yelkouan Shearwater,puffin.yelkouan
536,Pygargue à queue blanche,Haliaeetus albicilla,White-tailed Eagle,pygargue.a.queue.blanche
537,Râle d'eau,Rallus aquaticus,Water Rail,rale.d.eau
538,Râle des genêts,Crex crex,Corn Crake,rale.des.genets
539,Rémiz penduline,Remiz pendulinus,Eurasian Penduline Tit,remiz.penduline
540,Robin à flancs roux,Tarsiger cyanurus,Red-flanked Bluetail,robin.a.flancs.roux
541,Roitelet huppé,Regulus regulus,Goldcrest,roitelet.huppe
542,Roitelet triple-bandeau,Regulus ignicapilla,Common Firecrest,roitelet.triple-bandeau
543,Rollier d'Europe,Coracias garrulus,European Roller,rollier.d.europe
544,Roselin cramoisi,Carpodacus erythrinus,Common Rosefinch,roselin.cramoisi
545,Roselin githagine,Bucanetes githagineus,Trumpeter Finch,roselin.githagine
546,Rossignol philomèle,Luscinia megarhynchos,Common Nightingale,rossignol.philomele
547,Rossignol progné,Luscinia luscinia,Thrush Nightingale,rossignol.progne
548,Rougegorge familier,Erithacus rubecula,European Robin,rougegorge.familier
549,Rougequeue à front blanc,Phoenicurus phoenicurus,Common Redstart,rougequeue.a.front.blanc
550,Rougequeue de Moussier,Phoenicurus moussieri,Moussier's Redstart,rougequeue.de.moussier
551,Rougequeue noir,Phoenicurus ochruros,Black Redstart,rougequeue.noir
552,Rousserolle des buissons,Acrocephalus dumetorum,Blyth's Reed Warbler,rousserolle.des.buissons
553,Rousserolle effarvatte,Acrocephalus scirpaceus,Common Reed Warbler,rousserolle.effarvatte
554,Rousserolle isabelle,Acrocephalus agricola,Paddyfield Warbler,rousserolle.isabelle
555,Rousserolle turdoïde,Acrocephalus arundinaceus,Great Reed Warbler,rousserolle.turdoide
556,Rousserolle verderolle,Acrocephalus palustris,Marsh Warbler,rousserolle.verderolle
557,Sarcelle à ailes bleues,Spatula discors,Blue-winged Teal,sarcelle.a.ailes.bleues
558,Sarcelle à ailes vertes,Anas carolinensis,Green-winged Teal,sarcelle.a.ailes.vertes
559,Sarcelle d'été,Spatula querquedula,Garganey,sarcelle.d.ete
560,Sarcelle d'hiver,Anas crecca,Eurasian Teal,sarcelle.d.hiver
561,Sarcelle élégante,Sibirionetta formosa,Baikal Teal,sarcelle.elegante
562,Sarcelle marbrée,Marmaronetta angustirostris,Marbled Duck,sarcelle.marbree
563,Serin cini,Serinus serinus,European Serin,serin.cini
564,Sirli de Dupont,Chersophilus duponti,Dupont's Lark,sirli.de.dupont
565,Sittelle corse,Sitta whiteheadi,Corsican Nuthatch,sittelle.corse
566,Sittelle torchepot,Sitta europaea,Eurasian Nuthatch,sittelle.torchepot
567,Sizerin blanchâtre,Acanthis hornemanni,Arctic Redpoll,sizerin.blanchatre
568,Sizerin cabaret,Acanthis cabaret,Lesser Redpoll,sizerin.cabaret
569,Sizerin flammé,Acanthis flammea,Common Redpoll,sizerin.flamme
570,Spatule blanche,Platalea leucorodia,Eurasian Spoonbill,spatule.blanche
571,Sterne à dos pâle,Thalasseus albididorsalis,West African Crested Tern,sterne.a.dos.pale
572,Sterne arctique,Sterna paradisaea,Arctic Tern,sterne.arctique
573,Sterne bridée,Onychoprion anaethetus,Bridled Tern,sterne.bridee
574,Sterne caspienne,Hydroprogne caspia,Caspian Tern,sterne.caspienne
575,Sterne caugek,Thalasseus sandvicensis,Sandwich Tern,sterne.caugek
576,Sterne de Dougall,Sterna dougallii,Roseate Tern,sterne.de.dougall
577,Sterne de Forster,Sterna forsteri,Forster's Tern,sterne.de.forster
578,Sterne élégante,Thalasseus elegans,Elegant Tern,sterne.elegante
579,Sterne fuligineuse,Onychoprion fuscatus,Sooty Tern,sterne.fuligineuse
580,Sterne hansel,Gelochelidon nilotica,Gull-billed Tern,sterne.hansel
581,Sterne naine,Sternula albifrons,Little Tern,sterne.naine
582,Sterne pierregarin,Sterna hirundo,Common Tern,sterne.pierregarin
583,Sterne royale,Thalasseus maximus,Royal Tern,sterne.royale
584,Sterne voyageuse,Thalasseus bengalensis,Lesser Crested Tern,sterne.voyageuse
585,Syrrhapte paradoxal,Syrrhaptes paradoxus,Pallas's Sandgrouse,syrrhapte.paradoxal
586,Tadorne casarca,Tadorna ferruginea,Ruddy Shelduck,tadorne.casarca
587,Tadorne de Belon,Tadorna tadorna,Common Shelduck,tadorne.de.belon
588,Talève d'Allen,Porphyrio alleni,Allen's Gallinule,taleve.d.allen
589,Talève sultane,Porphyrio porphyrio,Western Swamphen,taleve.sultane
590,Tangara écarlate,Piranga olivacea,Scarlet Tanager,tangara.ecarlate
591,Tarier africain,Saxicola torquatus,African Stonechat,tarier.africain
592,Tarier de Sibérie,Saxicola maurus,Siberian Stonechat,tarier.de.siberie
593,Tarier des prés,Saxicola rubetra,Whinchat,tarier.des.pres
594,Tarier pâtre,Saxicola rubicola,European Stonechat,tarier.patre
595,Tarin des aulnes,Spinus spinus,Eurasian Siskin,tarin.des.aulnes
596,Tétras lyre,Lyrurus tetrix,Black Grouse,tetras.lyre
597,Tichodrome échelette,Tichodroma muraria,Wallcreeper,tichodrome.echelette
598,Torcol fourmilier,Jynx torquilla,Eurasian Wryneck,torcol.fourmilier
599,Tournepierre à collier,Arenaria interpres,Ruddy Turnstone,tournepierre.a.collier
600,Tourterelle des bois,Streptopelia turtur,European Turtle Dove,tourterelle.des.bois
601,Tourterelle orientale,Streptopelia orientalis,Oriental Turtle Dove,tourterelle.orientale
602,Tourterelle turque,Streptopelia decaocto,Eurasian Collared Dove,tourterelle.turque
603,Traquet à tête blanche,Oenanthe leucopyga,White-crowned Wheatear,traquet.a.tete.blanche
604,Traquet de Seebohm,Oenanthe seebohmi,Atlas Wheatear,traquet.de.seebohm
605,Traquet du désert,Oenanthe deserti,Desert Wheatear,traquet.du.desert
606,Traquet isabelle,Oenanthe isabellina,Isabelline Wheatear,traquet.isabelle
607,Traquet kurde,Oenanthe xanthoprymna,Kurdish Wheatear,traquet.kurde
608,Traquet motteux,Oenanthe oenanthe,Northern Wheatear,traquet.motteux
609,Traquet noir et blanc,Oenanthe melanoleuca,Eastern Black-eared Wheatear,traquet.noir.et.blanc
610,Traquet oreillard,Oenanthe hispanica,Western Black-eared Wheatear,traquet.oreillard
611,Traquet pie,Oenanthe pleschanka,Pied Wheatear,traquet.pie
612,Traquet rieur,Oenanthe leucura,Black Wheatear,traquet.rieur
613,Troglodyte mignon,Troglodytes troglodytes,Eurasian Wren,troglodyte.mignon
614,Turnix mugissant,Turnix sylvaticus,Common Buttonquail,turnix.mugissant
615,Vacher à tête brune,Molothrus ater,Brown-headed Cowbird,vacher.a.tete.brune
616,Vanneau à queue blanche,Vanellus leucurus,White-tailed Lapwing,vanneau.a.queue.blanche
617,Vanneau éperonné,Vanellus spinosus,Spur-winged Lapwing,vanneau.eperonne
618,Vanneau huppé,Vanellus vanellus,Northern Lapwing,vanneau.huppe
619,Vanneau sociable,Vanellus gregarius,Sociable Lapwing,vanneau.sociable
620,Vautour de Rüppell,Gyps rueppelli,Rüppell's Vulture,vautour.de.ruppell
621,Vautour fauve,Gyps fulvus,Griffon Vulture,vautour.fauve
622,Vautour moine,Aegypius monachus,Cinereous Vulture,vautour.moine
623,Vautour oricou,Torgos tracheliotos,Lappet-faced Vulture,vautour.oricou
624,Venturon corse,Carduelis corsicana,Corsican Finch,venturon.corse
625,Venturon montagnard,Carduelis citrinella,Citril Finch,venturon.montagnard
626,Verdier d'Europe,Chloris chloris,European Greenfinch,verdier.d.europe
627,Viréo à oeil rouge,Vireo olivaceus,Red-eyed Vireo,vireo.a.oeil.rouge
